Id,Universitas,Rank Universitas (Indonesia),Fakultas,Program Studi,Daya Tampung,Gelar ,UKT WNI,UKT WNA,SUMBER,Tanggal Akses
1,Universitas Gajah Mada,99,Teknik,Biologi,35,,25000000,25000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79469,5 Mei 2025
2,Universitas Gajah Mada,99,Ekonomi dan Bisnis,Akuntansi,55,,27500000,28000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79470,5 Mei 2025
3,Universitas Gajah Mada,99,Ekonomi dan Bisnis,Manajemen,35,,25000000,35000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79471,5 Mei 2025
4,Universitas Gajah Mada,99,Ekonomi dan Bisnis,ilmu Ekonomi,35,,25000000,35000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79472,5 Mei 2025
5,Universitas Gajah Mada,99,Kedokteran,Farmasi,20,,30000000,46500000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79473,5 Mei 2025
6,Universitas Gajah Mada,99,Ilmu Sosial dan Ilmu Politik,geografi Lingkungan,0,,25000000,35000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79474,5 Mei 2025
7,Universitas Gajah Mada,99,Kedokteran,kedokteran Hewan,0,,0,0,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79475,5 Mei 2025
8,Universitas Gajah Mada,99,Hukum,Hukum,80,,26000000,28000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79476,5 Mei 2025
9,Universitas Gajah Mada,99,Ilmu Sosial dan Ilmu Politik,Hubungan Internasional,50,,25000000,35000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79477,5 Mei 2025
10,Universitas Gajah Mada,99,Ilmu Sosial dan Ilmu Politik,Ilmu Komunikasi,50,,25000000,35000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79478,5 Mei 2025
11,Universitas Gajah Mada,99,Ilmu Sosial dan Ilmu Politik,Manajemen dan kebijakan publik,50,,25000000,35000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79479,5 Mei 2025
12,Universitas Gajah Mada,99,Kedokteran,Kedokteran ,80,,50000000,65000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79480,5 Mei 2025
13,Universitas Gajah Mada,99,Psikologi,Psikologi,40,,25000000,25000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79481,5 Mei 2025
14,Universitas Gajah Mada,99,Teknik,Teknologi pengelolaan infrastruktur sipil,0,,0,0,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79482,5 Mei 2025
15,Universitas Gajah Mada,99,Teknik,Statistika,0,,0,0,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79483,5 Mei 2025
16,Universitas Gajah Mada,99,Teknik,Elektronika dan Instrumental,30,,25000000,25000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79484,5 Mei 2025
17,Universitas Gajah Mada,99,Teknik,Ilmu Komputer,60,,25000000,25000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79485,5 Mei 2025
18,Universitas Gajah Mada,99,Teknik,Kimia,30,,20000000,20000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79486,5 Mei 2025
19,Universitas Gajah Mada,99,Teknik,Matematika,0,,0,0,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79487,5 Mei 2025
20,Universitas Gajah Mada,99,Teknik,ilmu dan Insustri peternakan,0,,0,0,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79488,5 Mei 2025
21,Universitas Gajah Mada,99,Teknik,Teknik biomedis,25,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79489,5 Mei 2025
22,Universitas Gajah Mada,99,Teknik,Teknik sipil,50,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79490,5 Mei 2025
23,Universitas Gajah Mada,99,Teknik,Teknik Mesin,25,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79491,5 Mei 2025
