Id,Universitas,Rank Universitas (Indonesia),Program Studi,Daya Tampung,Gelar ,UKT WNI,UKT WNA,SUMBER,Tanggal Akses,Provinsi
1,Universitas Gajah Mada,99,Biologi,35,,25000000,25000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79469,5 Mei 2025,Jawa Tengah
2,Universitas Gajah Mada,99,Akuntansi,55,,27500000,28000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79470,5 Mei 2025,Jawa Tengah
3,Universitas Gajah Mada,99,Manajemen,35,,25000000,35000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79471,5 Mei 2025,Jawa Tengah
4,Universitas Gajah Mada,99,ilmu Ekonomi,35,,25000000,35000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79472,5 Mei 2025,Jawa Tengah
5,Universitas Gajah Mada,99,Farmasi,20,,30000000,46500000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79473,5 Mei 2025,Jawa Tengah
6,Universitas Gajah Mada,99,geografi Lingkungan,0,,25000000,35000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79474,5 Mei 2025,Jawa Tengah
7,Universitas Gajah Mada,99,kedokteran Hewan,0,,0,0,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79475,5 Mei 2025,Jawa Tengah
8,Universitas Gajah Mada,99,Hukum,80,,26000000,28000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79476,5 Mei 2025,Jawa Tengah
9,Universitas Gajah Mada,99,Hubungan Internasional,50,,25000000,35000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79477,5 Mei 2025,Jawa Tengah
10,Universitas Gajah Mada,99,Ilmu Komunikasi,50,,25000000,35000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79478,5 Mei 2025,Jawa Tengah
11,Universitas Gajah Mada,99,Manajemen dan kebijakan publik,50,,25000000,35000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79479,5 Mei 2025,Jawa Tengah
12,Universitas Gajah Mada,99,Kedokteran,80,,50000000,65000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79480,5 Mei 2025,Jawa Tengah
13,Universitas Gajah Mada,99,Psikologi,40,,25000000,25000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79481,5 Mei 2025,Jawa Tengah
14,Universitas Gajah Mada,99,Teknologi pengelolaan infrastruktur sipil,0,,0,0,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79482,5 Mei 2025,Jawa Tengah
15,Universitas Gajah Mada,99,Statistika,0,,0,0,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79483,5 Mei 2025,Jawa Tengah
16,Universitas Gajah Mada,99,Elektronika dan Instrumental,30,,25000000,25000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79484,5 Mei 2025,Jawa Tengah
17,Universitas Gajah Mada,99,Ilmu Komputer,60,,25000000,25000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79485,5 Mei 2025,Jawa Tengah
18,Universitas Gajah Mada,99,Kimia,30,,20000000,20000000,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79486,5 Mei 2025,Jawa Tengah
19,Universitas Gajah Mada,99,Matematika,0,,0,0,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79487,5 Mei 2025,Jawa Tengah
20,Universitas Gajah Mada,99,ilmu dan Insustri peternakan,0,,0,0,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79488,5 Mei 2025,Jawa Tengah
21,Universitas Gajah Mada,99,Teknik biomedis,25,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79489,5 Mei 2025,Jawa Tengah
22,Universitas Gajah Mada,99,Teknik sipil,50,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79490,5 Mei 2025,Jawa Tengah
23,Universitas Gajah Mada,99,Teknik Mesin,25,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79491,5 Mei 2025,Jawa Tengah
24,Universitas Gajah Mada,99,Teknik Kimia,25,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79492,5 Mei 2025,Jawa Tengah
25,Universitas Gajah Mada,99,Teknik Geodesi,25,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79493,5 Mei 2025,Jawa Tengah
26,Universitas Gajah Mada,99,Teknik Geologi,30,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79494,5 Mei 2025,Jawa Tengah
27,Universitas Gajah Mada,99,Teknologi Informasi,25,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79495,5 Mei 2025,Jawa Tengah
28,Universitas Gajah Mada,99,Teknik Industri,30,,30000000,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79496,5 Mei 2025,Jawa Tengah
29,Universitas Gajah Mada,99,Perencanaan wilayah dan kota,20,,0,,https://mkp.fisipol.ugm.ac.id/program-studi/s1-mkp/internasional/pmb-s1-iup/ & https://www.tempo.co/politik/daftar-biaya-kuliah-program-iup-ugm-terbaru-2024--79497,5 Mei 2025,Jawa Tengah
"30,Institut Teknologi Bandung,141,Sains dan Teknologi Farmasi (Sekolah Farmasi),30,,30000000,,""https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/"",5 Mei 2025,Jawa Barat"
"31,Institut Teknologi Bandung,141,Farmasi Klinis dan Komunitas (Sekolah Farmasi),30,,30000000,,""https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/"",5 Mei 2025,Jawa Barat"
"32,Institut Teknologi Bandung,141,Teknik Kimia,30,,30000000,,""https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/"",5 Mei 2025,Jawa Barat"
"33,Institut Teknologi Bandung,141,Teknik Lingkungan,20,,30000000,,""https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/"",5 Mei 2025,Jawa Barat"
"34,Institut Teknologi Bandung,141,Teknik Mesin,60,,30000000,,""https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/"",5 Mei 2025,Jawa Barat"
"35,Institut Teknologi Bandung,141,Teknik Dirgantara,35,,30000000,,""https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/"",5 Mei 2025,Jawa Barat"
